Name,Num of words
BLADE,7
BLADE,3
WHISTLER,7
CHUPA,8
CHUPA,7
CHUPA,5
WHISTLER,8
WHISTLER,5
CHUPA,6
CHUPA,4
WHISTLER,7
WHISTLER,1
BLADE,4
WHISTLER,3
REINHARDT,3
WHISTLER,9
WHISTLER,7
NYSSA,2
DAMASKINOS,1
STEVENS,6
DAMASKINOS,2
STEVENS,3
DAMASKINOS,6
DAMASKINOS,5
STEVENS,7
STEVENS,2
DAMASKINOS,8
DAMASKINOS,8
DAMASKINOS,6
STEVENS,6
STEVENS,8
DAMASKINOS,7
DAMASKINOS,6
DAMASKINOS,5
STEVENS,7
STEVENS,8
STEVENS,2
DAMASKINOS,5
DAMASKINOS,7
DAMASKINOS,6
DAMASKINOS,6
DAMASKINOS,8
DAMASKINOS,1
BLADE,2
NYSSA,6
NYSSA,7
NYSSA,2
BLADE,6
BLADE,2
NYSSA,8
NYSSA,7
NYSSA,7
NYSSA,2
BLADE,1
BLADE,3
BLADE,6
BLADE,7
BLADE,7
BLADE,1
NYSSA,7
NYSSA,6
BLADE,5
BLADE,6
BLADE,4
NYSSA,7
NYSSA,8
NYSSA,6
NYSSA,5
NYSSA,5
NYSSA,7
NYSSA,4
NYSSA,6
SCUD,2
NYSSA,7
NYSSA,8
NYSSA,3
NYSSA,8
NYSSA,5
NYSSA,6
BLADE,5
NYSSA,6
NYSSA,5
NYSSA,4
NYSSA,7
SCUD,7
BLADE,7
BLADE,3
ASAD,4
BLADE,6
CHUPA,5
BLADE,6
BLADE,6
BLADE,5
REINHARDT,4
BLADE,8
BLADE,5
REINHARDT,8
REINHARDT,8
BLADE,7
BLADE,7
BLADE,3
REINHARDT,7
REINHARDT,1
CHUPA,8
CHUPA,6
CHUPA,6
CHUPA,7
CHUPA,7
CHUPA,4
VERLAINE,5
ASAD,6
WHISTLER,8
WHISTLER,8
BLADE,5
WHISTLER,7
WHISTLER,7
WHISTLER,7
BLADE,7
BLADE,8
BLADE,1
WHISTLER,8
BLADE,8
BLADE,7
BLADE,7
BLADE,7
BLADE,2
BLADE,6
BLADE,5
BLADE,5
BLADE,3
WHISTLER,7
WHISTLER,5
WHISTLER,1
BLADE,6
WHISTLER,2
DEALER,5
CHUPA,3
DEALER,6
CHUPA,7
CHUPA,4
DEALER,5
CHUPA,1
CHUPA,6
BLADE,6
CHUPA,5
NYSSA,5
NYSSA,7
NYSSA,5
CHUPA,7
CHUPA,5
NYSSA,8
NYSSA,2
BLADE,8
NYSSA,7
NYSSA,6
NYSSA,8
NYSSA,8
NYSSA,7
NYSSA,5
NYSSA,8
NYSSA,6
NYSSA,6
NYSSA,8
NYSSA,8
