Name,Num of words
DIRECTOR,7
DIRECTOR,7
DIRECTOR,6
DIRECTOR,7
DIRECTOR,6
DIRECTOR,7
DIRECTOR,6
DIRECTOR,5
DIRECTOR,7
DIRECTOR,7
WELLES,2
DIRECTOR,6
DIRECTOR,7
DIRECTOR,7
DIRECTOR,4
WELLES,8
WELLES,5
DIRECTOR,5
WELLES,5
WELLES,6
WELLES,7
WELLES,7
WELLES,5
WELLES,7
WELLES,8
WELLES,4
WELLES,6
WELLES,2
WELLES,5
WELLES,7
WELLES,6
WELLES,6
WELLES,6
WELLES,6
WELLES,8
WELLES,2
WELLES,6
WELLES,6
WELLES,5
WELLES,6
WELLES,7
WELLES,7
WELLES,2
WELLES,6
WELLES,6
WELLES,8
WELLES,3
WELLES,6
WELLES,6
WELLES,8
WELLES,8
WELLES,8
WELLES,5
WELLES,6
WELLES,8
WELLES,7
WELLES,8
WELLES,6
WELLES,6
WELLES,2
WELLES,6
WELLES,6
WELLES,8
WELLES,6
WELLES,7
WELLES,6
WELLES,6
WELLES,6
WELLES,7
WELLES,6
MRS MATHEWS,2
WELLES,5
WELLES,6
WELLES,1
WELLES,6
WELLES,5
WELLES,6
WELLES,7
WELLES,8
WELLES,7
WELLES,4
WELLES,4
MRS MATHEWS,6
WELLES,6
WELLES,5
WELLES,6
WELLES,5
WELLES,5
WELLES,4
MRS MATHEWS,2
WELLES,4
WELLES,4
WELLES,6
WELLES,7
WELLES,2
WELLES,6
WELLES,4
WELLES,5
WELLES,7
WELLES,7
WELLES,6
WELLES,5
WELLES,7
WELLES,1
WELLES,8
WELLES,2
MRS MATHEWS,3
WELLES,7
WELLES,8
WELLES,2
MRS MATHEWS,1
WELLES,6
WELLES,5
WELLES,5
WELLES,6
WELLES,6
WELLES,5
WELLES,5
WELLES,7
WELLES,7
WELLES,8
WELLES,1
WELLES,6
WELLES,5
WELLES,6
WELLES,6
WELLES,7
WELLES,2
MRS MATHEWS,6
MRS MATHEWS,2
WELLES,5
MRS MATHEWS,6
MRS MATHEWS,5
WELLES,7
WELLES,7
WELLES,5
WELLES,7
WELLES,7
WELLES,8
WELLES,6
WELLES,5
WELLES,6
WELLES,6
WELLES,6
WELLES,6
WELLES,6
WELLES,7
WELLES,6
WELLES,6
WELLES,6
WELLES,6
WELLES,4
WELLES,7
WELLES,6
WELLES,5
MRS MATHEWS,1
WELLES,5
MRS MATHEWS,6
MRS MATHEWS,8
MRS MATHEWS,8
MRS MATHEWS,7
MRS MATHEWS,5
WELLES,5
MRS MATHEWS,3
WELLES,5
WELLES,4
WELLES,7
WELLES,4
MRS MATHEWS,1
WELLES,6
WELLES,3
MRS MATHEWS,6
MRS MATHEWS,7
MRS MATHEWS,1
WELLES,7
MRS MATHEWS,8
WELLES,8
WELLES,3
WELLES,1
WELLES,6
WELLES,3
MRS MATHEWS,5
MRS MATHEWS,7
MRS MATHEWS,5
MRS MATHEWS,6
MRS MATHEWS,5
WELLES,4
MRS MATHEWS,7
MRS MATHEWS,6
MRS MATHEWS,6
MRS MATHEWS,5
WELLES,6
MRS MATHEWS,7
MRS MATHEWS,7
MRS MATHEWS,6
MRS MATHEWS,6
WELLES,2
MRS MATHEWS,4
MRS MATHEWS,8
MRS MATHEWS,8
MRS MATHEWS,5
MRS MATHEWS,7
MRS MATHEWS,6
MRS MATHEWS,7
WELLES,6
WELLES,6
WELLES,4
MRS MATHEWS,1
WELLES,8
WELLES,7
WELLES,8
WELLES,6
WELLES,1
WELLES,6
WELLES,1
WELLES,8
WELLES,6
WELLES,7
WELLES,6
MRS MATHEWS,5
MRS MATHEWS,5
MRS MATHEWS,7
MRS MATHEWS,8
MRS MATHEWS,6
MRS MATHEWS,5
