Normal Clock 1,Normal Clock 2,Clk_1 - Clk_2
0.0,0.0,0.0
0.0015151515151515152,0.0017050298380221654,-0.00018987832287065023
0.0030303030303030303,0.001894477597802406,0.0011358254325006243
0.004545454545454545,0.0019892014776925265,0.0025562530677620187
0.006060606060606061,0.0034100596760443308,0.00265054638456173
0.007575757575757576,0.004546746234725774,0.0030290113410318016
0.00909090909090909,0.005115089514066497,0.003975819576842594
0.010606060606060607,0.005304537273846737,0.00530152333221387
0.012121212121212121,0.005493985033626978,0.006627227087585143
0.013636363636363636,0.00625177607274794,0.0073845875636156955
0.015151515151515152,0.006914843231978782,0.00823667191953637
0.016666666666666666,0.007293738751539263,0.009372927915127404
0.01818181818181818,0.007767358150989865,0.010414460030828316
0.019696969696969695,0.010703798427583594,0.008993171269386101
0.021212121212121213,0.011082693947144074,0.010129427264977139
0.022727272727272728,0.011556313346594677,0.011170959380678051
0.024242424242424242,0.011935208866155157,0.012307215376269085
0.025757575757575757,0.014966373022639007,0.01079120273493675
0.02727272727272727,0.015345268542199489,0.011927458730527783
0.02878787878787879,0.016860850620441414,0.011927028167437376
0.030303030303030304,0.017808089419342615,0.012494940883687689
0.031818181818181815,0.018186984938903097,0.013631196879278717
0.03333333333333333,0.01847115657857346,0.014862176754759874
0.03484848484848485,0.022923178933409113,0.011925305915075738
0.03636363636363636,0.023396798332859715,0.012966838030776646
0.03787878787878788,0.023870417732310314,0.014008370146477565
0.03939393939393939,0.025196552050771998,0.014197387343167393
0.04090909090909091,0.026333238609453444,0.014575852299637464
0.04242424242424243,0.026806858008904044,0.015617384415338383
0.04393939393939394,0.02775409680780525,0.01618529713158869
0.045454545454545456,0.02879605948659657,0.016658485967948885
0.04696969696969697,0.029269678886047173,0.017700018083649793
0.048484848484848485,0.030311641564838496,0.01817320692000999
0.05,0.0317324997631903,0.018267500236809703
0.051515151515151514,0.03258501468220138,0.018930136832950133
0.05303030303030303,0.03599507435824571,0.01703522867205732
0.05454545454545454,0.03646869375769631,0.01807676078775823
0.05606060606060606,0.036847589277256794,0.019213016783349267
0.05757575757575758,0.03836317135549872,0.019212586220258857
0.05909090909090909,0.03864734299516908,0.02044356609574001
0.06060606060606061,0.04016292507341101,0.0204431355326496
0.06212121212121212,0.042152126551103536,0.019969085570108583
0.06363636363636363,0.04234157431088378,0.021294789325479853
0.06515151515151515,0.045183290707587385,0.01996822444392777
0.06666666666666667,0.045467462347257744,0.021199204319408922
0.06818181818181818,0.04594108174670834,0.022240736435109834
0.0696969696969697,0.046130529506488584,0.023566440190481118
0.07121212121212121,0.04982476082220328,0.021387360389917932
0.07272727272727272,0.052382305579236524,0.0203449671480362
0.07424242424242425,0.052761201098797006,0.021481223143627243
0.07575757575757576,0.05588708913517098,0.01987048662240478
0.07727272727272727,0.05683432793407218,0.020438399338655093
0.07878787878787878,0.05920242493132519,0.019585453856553595
0.0803030303030303,0.05939187269110543,0.02091115761192488
0.08181818181818182,0.06071800700956711,0.02110017480861471
0.08333333333333333,0.061381074168797956,0.021952259164535373
0.08484848484848485,0.06242303684758928,0.022425448000895576
0.08636363636363636,0.0625177607274794,0.023845875636156963
0.08787878787878788,0.06517002936440276,0.022708758514385113
0.0893939393939394,0.06535947712418301,0.02403446226975639
0.09090909090909091,0.0700009472387989,0.020908143670292006
0.09242424242424242,0.0718954248366013,0.02052881758764112
0.09393939393939393,0.07530548451264564,0.018633909426748294
0.09545454545454546,0.07644217107132709,0.019012374383218372
0.09696969696969697,0.07947333522781093,0.01749636174188604
0.09848484848484848,0.08032585014682202,0.018158998338026464
0.1,0.08155726058539357,0.018442739414606432
0.10151515151515152,0.08193615610495406,0.01957899541019746
0.10303030303030303,0.08856682769726248,0.014463475333040543
0.10454545454545454,0.09633418584825235,0.008211268697202193
0.10606060606060606,0.09642890972814247,0.009631696332463593
0.10757575757575757,0.09822866344605476,0.009347094129702818
0.10909090909090909,0.09879700672539547,0.010293902365513613
0.11060606060606061,0.10097565596286824,0.00963040464319237
0.11212121212121212,0.1017334470019892,0.010387765119222916
0.11363636363636363,0.10343847684001137,0.010197886796352265
0.11515151515151516,0.10410154399924221,0.01104997115227295
0.11666666666666667,0.10466988727858294,0.011996779388083731
0.11818181818181818,0.10987970067253955,0.008302117509278631
0.11969696969696969,0.11035332007199015,0.009343649624979536
0.12121212121212122,0.11802595434308989,0.0031861668690313233
0.12272727272727273,0.11868902150232073,0.004038251224951994
0.12424242424242424,0.11916264090177134,0.005079783340652899
0.12575757575757576,0.11954153642133182,0.006216039336243942
0.12727272727272726,0.12285687221748604,0.004415855055241225
0.12878787878787878,0.12370938713649711,0.005078491651381675
0.1303030303030303,0.12389883489627736,0.006404195406752952
0.1318181818181818,0.12494079757506868,0.006877384243113127
0.13333333333333333,0.12513024533484893,0.008203087998484404
0.13484848484848486,0.12749834233210192,0.00735014251638294
0.13636363636363635,0.1277825139717723,0.008581122391864066
0.13787878787878788,0.1302453348489154,0.007633453029872478
0.1393939393939394,0.13100312588803636,0.008390813505903039
0.1409090909090909,0.13128729752770674,0.009621793381384164
0.14242424242424243,0.13147674528748698,0.01094749713675544
0.14393939393939395,0.13365539452495975,0.010283999414434197
0.14545454545454545,0.13460263332386094,0.01085191213068451
0.14696969696969697,0.1521265511035332,-0.005156854133836236
0.1484848484848485,0.15288434214265417,-0.004399493657805675
0.15,0.15335796154210476,-0.0033579615421047704
0.15151515151515152,0.153547409301885,-0.0020322577867334934
0.15303030303030302,0.1544946481007862,-0.0014643450704831806
