Name,Num of words
ROSE,2
CHRIS,1
DEAN,5
CHRIS,1
DEAN,7
DEAN,7
DEAN,7
DEAN,6
DEAN,1
MISSY,6
MISSY,6
MISSY,2
CHRIS,7
CHRIS,2
ROSE,6
ROSE,5
ROSE,1
MISSY,6
MISSY,7
MISSY,3
CHRIS,2
ROSE,6
CHRIS,4
MISSY,8
MISSY,4
DEAN,7
DEAN,5
DEAN,3
MISSY,5
CHRIS,2
CHRIS,1
MISSY,6
MISSY,5
DEAN,2
JEREMY,6
JEREMY,7
JEREMY,6
JEREMY,7
JEREMY,3
ROSE,2
ROSE,1
CHRIS,7
CHRIS,2
DEAN,6
DEAN,2
JEREMY,2
ROSE,3
JEREMY,6
JEREMY,6
JEREMY,5
JEREMY,6
JEREMY,2
JEREMY,7
JEREMY,6
JEREMY,6
JEREMY,1
MISSY,5
JEREMY,8
JEREMY,5
JEREMY,6
JEREMY,5
JEREMY,5
JEREMY,2
MISSY,1
ROSE,6
ROSE,6
JEREMY,6
JEREMY,5
JEREMY,7
JEREMY,7
JEREMY,5
JEREMY,5
CHRIS,2
JEREMY,6
JEREMY,6
CHRIS,4
ROSE,6
ROSE,6
CHRIS,4
MISSY,7
MISSY,2
MISSY,5
MISSY,5
MISSY,1
ROSE,5
ROSE,4
DEAN,6
DEAN,1
CHRIS,6
JEREMY,4
ROSE,2
JEREMY,1
DEAN,6
DEAN,3
JEREMY,5
JEREMY,6
JEREMY,3
CHRIS,7
CHRIS,8
CHRIS,1
JEREMY,7
JEREMY,2
CHRIS,7
CHRIS,4
ROSE,1
JEREMY,5
JEREMY,5
JEREMY,6
JEREMY,4
CHRIS,2
MISSY,3
ROSE,5
JEREMY,4
JEREMY,6
JEREMY,1
MISSY,6
JEREMY,5
CHRIS,7
CHRIS,4
DEAN,3
JEREMY,6
ROSE,4
MISSY,2
CHRIS,6
MISSY,7
CHRIS,7
CHRIS,3
MISSY,7
MISSY,1
CHRIS,7
CHRIS,3
MISSY,5
MISSY,3
MISSY,2
CHRIS,7
MISSY,4
CHRIS,1
MISSY,2
CHRIS,3
MISSY,2
MISSY,1
CHRIS,7
CHRIS,7
CHRIS,4
MISSY,6
MISSY,5
MISSY,1
MISSY,6
MISSY,6
MISSY,6
MISSY,4
MISSY,1
CHRIS,3
CHRIS,4
MISSY,2
CHRIS,4
MISSY,6
MISSY,7
MISSY,5
MISSY,6
MISSY,7
MISSY,4
CHRIS,7
CHRIS,4
MISSY,7
MISSY,5
MISSY,7
MISSY,6
MISSY,2
CHRIS,7
MISSY,6
MISSY,6
MISSY,6
MISSY,7
MISSY,2
CHRIS,5
MISSY,7
MISSY,1
CHRIS,7
CHRIS,6
CHRIS,6
CHRIS,1
MISSY,5
MISSY,5
MISSY,6
MISSY,7
MISSY,3
MISSY,6
MISSY,3
MISSY,6
MISSY,5
MISSY,1
MISSY,1
CHRIS,6
MISSY,6
MISSY,3
MISSY,1
MISSY,2
CHRIS,8
CHRIS,5
MISSY,6
MISSY,7
MISSY,6
MISSY,2
MISSY,8
CHRIS,3
MISSY,7
MISSY,6
MISSY,5
MISSY,6
MISSY,3
CHRIS,2
MISSY,6
MISSY,7
MISSY,2
CHRIS,4
MISSY,4
MISSY,6
MISSY,2
MISSY,6
MISSY,2
MISSY,4
CHRIS,7
CHRIS,1
CHRIS,2
MISSY,7
CHRIS,3
CHRIS,6
CHRIS,6
CHRIS,6
CHRIS,3
CHRIS,2
CHRIS,6
CHRIS,1
WALTER,7
CHRIS,1
CHRIS,7
CHRIS,6
CHRIS,5
WALTER,7
WALTER,1
CHRIS,7
CHRIS,5
WALTER,5
CHRIS,4
WALTER,7
WALTER,1
WALTER,7
CHRIS,7
CHRIS,2
CHRIS,4
WALTER,6
CHRIS,4
WALTER,7
CHRIS,3
ROSE,5
CHRIS,6
CHRIS,6
CHRIS,1
ROSE,2
CHRIS,8
CHRIS,7
CHRIS,7
CHRIS,7
CHRIS,1
ROSE,5
ROSE,1
CHRIS,6
CHRIS,6
CHRIS,7
CHRIS,4
ROSE,5
ROSE,2
ROSE,7
ROSE,6
ROSE,6
ROSE,4
CHRIS,6
CHRIS,1
ROSE,6
ROSE,3
CHRIS,6
CHRIS,6
ROSE,5
CHRIS,8
CHRIS,4
ROSE,4
ROSE,2
ROSE,2
GORDON,7
GORDON,3
GORDON,2
CHRIS,3
GORDON,4
CHRIS,7
CHRIS,3
EMILY,5
EMILY,2
CHRIS,3
GORDON,7
GORDON,7
GORDON,1
ROSE CHRIS,4
EMILY,3
GORDON,6
GORDON,5
CHRIS,7
GORDON,2
GORDON,9
GORDON,7
CHRIS,8
CHRIS,2
LISA,4
ROSE,1
LISA,4
NELSON,1
LISA,7
LISA,3
LISA,2
LISA,4
ROSE,3
CHRIS,4
APRIL,6
APRIL,2
CHRIS,3
PARKER,6
PARKER,5
PARKER,5
PARKER,4
ROSE,1
PARKER,7
PARKER,6
PARKER,6
PARKER,4
CHRIS,6
CHRIS,2
PARKER,6
ROSE,7
ROSE,5
ROSE,3
PARKER,2
CHRIS,6
CHRIS,2
ANDRE,5
CHRIS,4
ANDRE,5
ANDRE,5
PHIL,6
PHIL,1
PHIL,6
PHIL,1
CHRIS,3
PHIL,6
PHIL,2
ANDRE,6
ANDRE,3
ANDRE,7
ANDRE,5
ANDRE,2
PHIL,7
PHIL,6
PHIL,4
ANDRE/LOGAN,7
ANDRE/LOGAN,1
CHRIS,1
ROSE,3
CHRIS,4
CHRIS,1
DEAN,7
DEAN,6
DEAN,7
DEAN,7
DEAN,6
DEAN,7
DEAN,6
DEAN,5
JIM,2
JIM,1
JIM,5
JIM,7
JIM,2
CHRIS,7
CHRIS,3
CHRIS,2
JIM,6
JIM,6
JIM,2
JIM,8
JIM,7
JIM,1
CHRIS,5
CHRIS,1
JIM,7
JIM,5
CHRIS,5
JIM,6
JIM,6
JIM,5
JIM,3
CHRIS,6
CHRIS,5
CHRIS,1
JIM,5
JIM,5
JIM,6
JIM,7
JIM,5
JIM,6
JIM,1
JIM,8
JIM,7
JIM,8
JIM,6
JIM,1
CHRIS,4
JIM,1
JEREMY,4
CHRIS,2
CHRIS,4
JIM,6
JIM,7
CHRIS,6
CHRIS,5
JIM,6
JIM,2
JEREMY,7
JEREMY,2
CHRIS,7
JEREMY,4
ROSE,3
JEREMY,7
JEREMY,7
JEREMY,6
CHRIS,6
CHRIS,2
CHRIS,1
ROSE,2
JEREMY,5
JEREMY,3
CHRIS,3
ROSE,3
CHRIS,6
ROSE,3
CHRIS,4
CHRIS,1
CHRIS,7
CHRIS,5
ROSE,7
CHRIS,6
CHRIS,6
CHRIS,2
CHRIS,1
CHRIS,4
ROSE,5
ROSE,6
ROSE,3
CHRIS,3
ROSE,7
ROSE,5
ROSE,5
ROSE,7
ROSE,6
ROSE,1
CHRIS,5
CHRIS,8
CHRIS,1
ROSE,1
ROD,1
CHRIS,3
ROD,5
ROD,5
ROD,1
CHRIS,1
ROD,6
CHRIS,7
CHRIS,6
CHRIS,7
CHRIS,6
CHRIS,1
ROD,6
CHRIS,5
CHRIS,2
ROD,7
CHRIS,6
CHRIS,3
ROD,7
ROD,7
ROD,6
CHRIS,1
ROD,6
ROD,6
ROD,5
CHRIS,6
CHRIS,6
ROD,5
ROD,6
ROD,4
ROD,6
ROD,3
ROD,6
ROD,6
ROD,6
ROD,5
CHRIS,6
CHRIS,1
ROD,8
ROD,1
CHRIS,6
CHRIS,6
CHRIS,5
ROD,1
ROD,6
ROD,5
ROD,5
ROD,6
ROD,6
CHRIS,6
CHRIS,5
CHRIS,1
ROD,5
CHRIS,7
CHRIS,6
CHRIS,2
CHRIS,8
CHRIS,4
ROD,7
ROD,1
ROD,5
