Normal Clock 1,Normal Clock 2,Clk_1 - Clk_2
0.0,0.0,0.0
0.0016,0.0005563282336578582,0.001043671766342142
0.0032,0.0008344923504867872,0.002365507649513213
0.0048,0.0026425591098748263,0.0021574408901251733
0.0064,0.0029207232267037552,0.003479276773296245
0.008,0.00305980528511822,0.004940194714881781
0.0096,0.004728789986091794,0.004871210013908205
0.0112,0.0058414464534075105,0.005358553546592489
0.0128,0.007927677329624478,0.0048723226703755226
0.0144,0.010152990264255911,0.004247009735744088
0.016,0.012517385257301807,0.003482614742698193
0.0176,0.023365785813630042,-0.005765785813630041
0.0192,0.02517385257301808,-0.005973852573018083
0.0208,0.025312934631432544,-0.004512934631432545
0.0224,0.027121001390820583,-0.004721001390820583
0.024,0.02851182197496523,-0.004511821974965229
0.0256,0.03101529902642559,-0.005415299026425589
0.0272,0.032962447844228096,-0.0057624478442280976
0.0288,0.034492350486787206,-0.0056923504867872066
0.0304,0.03477051460361613,-0.004370514603616132
0.032,0.0349095966620306,-0.0029095966620305974
0.0336,0.035187760778859524,-0.001587760778859526
0.0352,0.036578581363004174,-0.0013785813630041721
0.0368,0.03699582753824757,-0.00019582753824756716
0.0384,0.03727399165507649,0.0011260083449235042
0.04,0.038108484005563284,0.0018915159944367169
0.0416,0.0388038942976356,0.002796105702364396
0.0432,0.040055632823365786,0.0031443671766342163
0.0448,0.04102920723226704,0.0037707927677329625
0.0464,0.04200278164116829,0.004397218358831709
0.048,0.04325452016689847,0.004745479833101529
0.0496,0.04506258692628651,0.004537413073713491
0.0512,0.04756606397774687,0.003633936022253134
0.0528,0.053268428372739915,-0.0004684283727399152
0.0544,0.0545201668984701,-0.00012016689847010181
0.056,0.055771905424200276,0.00022809457579972547
0.0576,0.057162726008344926,0.00043727399165507247
0.0592,0.058692628650904036,0.0005073713490959669
0.0608,0.06356050069541029,-0.002760500695410291
0.0624,0.06425591098748261,-0.0018559109874826119
0.064,0.06509040333796941,-0.0010904033379694061
0.0656,0.06522948539638386,0.0003705146036161455
0.0672,0.06578581363004173,0.0014141863699582702
0.0688,0.06592489568845619,0.002875104311543808
0.0704,0.06648122392211404,0.00391877607788596
0.072,0.07301808066759388,-0.0010180806675938875
0.0736,0.07468706536856745,-0.0010870653685674525
0.0752,0.07732962447844229,-0.0021296244784422824
0.0768,0.07788595271210014,-0.0010859527121001439
0.0784,0.07872044506258692,-0.0003204450625869243
0.08,0.07927677329624479,0.0007232267037552143
0.0816,0.08080667593880389,0.0007933240611961156
0.0832,0.082336578581363,0.0008634214186369893
0.0848,0.08358831710709319,0.0012116828929068096
0.0864,0.08470097357440891,0.0016990264255910964
0.088,0.08539638386648123,0.0026036161335187685
0.0896,0.08803894297635605,0.0015610570236439525
0.0912,0.08915159944367176,0.0020484005563282393
0.0928,0.09068150208623088,0.002118497913769113
0.0944,0.09109874826147427,0.0033012517385257317
0.096,0.0937413073713491,0.002258692628650902
0.0976,0.09596662030598054,0.0016333796940194711
0.0992,0.09749652294853964,0.0017034770514603587
0.1008,0.09777468706536857,0.00302531293463143
0.1024,0.09916550764951321,0.003234492350486798
0.104,0.10125173852573018,0.0027482614742698197
0.1056,0.10278164116828929,0.0028183588317107072
0.1072,0.10333796940194714,0.0038620305980528596
0.1088,0.10486787204450626,0.003932127955493733
0.1104,0.10570236439499305,0.004697635605006953
0.112,0.10737134909596661,0.004628650904033388
0.1136,0.10792767732962448,0.005672322670375526
0.1152,0.10890125173852573,0.006298748261474266
0.1168,0.1090403337969402,0.0077596662030598035
0.1184,0.10973574408901252,0.00866425591098749
0.12,0.11112656467315717,0.00887343532684283
0.1216,0.11182197496522948,0.009778025034770516
0.1232,0.11390820584144645,0.009291794158553551
0.1248,0.11432545201668985,0.010474547983310142
0.1264,0.11599443671766342,0.010405563282336591
0.128,0.11808066759388039,0.009919332406119613
0.1296,0.11891515994436717,0.010684840055632819
0.1312,0.11933240611961057,0.011867593880389438
0.1328,0.11974965229485396,0.013050347705146043
0.1344,0.12127955493741308,0.013120445062586916
0.136,0.12239221140472879,0.013607788595271217
0.1376,0.12378303198887343,0.01381696801112657
0.1392,0.12531293463143253,0.013887065368567458
0.1408,0.12698191933240613,0.01381808066759388
0.1424,0.12739916550764951,0.015000834492350484
0.144,0.12753824756606397,0.016461752433936022
0.1456,0.1282336578581363,0.017366342141863694
0.1472,0.12878998609179415,0.018410013908205847
0.1488,0.12948539638386647,0.01931460361613352
0.1504,0.12962447844228095,0.020775521557719057
0.152,0.13101529902642559,0.02098470097357441
0.1536,0.1317107093184979,0.021889290681502083
0.1552,0.13477051460361614,0.020429485396383867
0.1568,0.1357440890125174,0.021055910987482607
0.1584,0.13671766342141864,0.021682336578581374
0.16,0.13810848400556328,0.021891515994436728
0.1616,0.139221140472879,0.022378859527120987
0.1632,0.1407510431154381,0.022448956884561916
0.1648,0.1415855354659249,0.023214464534075108
0.1664,0.14339360222531294,0.02300639777468705
0.168,0.1454798331015299,0.022520166898470112
0.1696,0.14617524339360222,0.023424756606397784
0.1712,0.14673157162726008,0.02446842837273991
0.1728,0.14714881780250347,0.02565118219749654
0.1744,0.14812239221140472,0.02627760778859528
0.176,0.14881780250347706,0.027182197496522925
0.1776,0.1493741307371349,0.028225869262865105
0.1792,0.15034770514603615,0.028852294853963845
0.1808,0.1506258692628651,0.030174130737134902
0.1824,0.15243393602225314,0.02996606397774687
0.184,0.15299026425591097,0.031009735744089023
0.1856,0.15660639777468707,0.028993602225312914
0.1872,0.15744089012517384,0.029759109874826162
0.1888,0.15827538247566064,0.030524617524339354
