Name,Num of words
ELI,6
ELI,7
ELI,5
ELI,6
CARNEGIE,7
CLAUDIA,5
CARNEGIE,7
CARNEGIE,5
CARNEGIE,1
SOLARA,2
SOLARA,1
HOG,1
ELI,8
ELI,6
ELI,8
ELI,2
ELI,6
CARNEGIE,4
CARNEGIE,4
ELI,6
CARNEGIE,6
CARNEGIE,4
CARNEGIE,7
CARNEGIE,6
CARNEGIE,6
CARNEGIE,3
CARNEGIE GUNMAN,5
CARNEGIE,6
CARNEGIE,7
CARNEGIE,1
CARNEGIE,7
CARNEGIE,8
CARNEGIE,7
CARNEGIE,8
CARNEGIE,6
CARNEGIE,6
CARNEGIE,5
CARNEGIE,5
CARNEGIE,6
ELI,7
ELI,6
ELI,5
CARNEGIE,8
CARNEGIE,5
ELI,1
CARNEGIE,7
CARNEGIE,7
CARNEGIE,3
ELI,7
CARNEGIE,4
CARNEGIE,7
CARNEGIE,6
CARNEGIE,6
CARNEGIE,3
ELI,7
ELI,2
CARNEGIE,6
CARNEGIE,7
CARNEGIE,5
CARNEGIE,6
CARNEGIE,6
CARNEGIE,6
CARNEGIE,5
CARNEGIE,7
CARNEGIE,6
CARNEGIE,7
CARNEGIE,4
CARNEGIE,6
CARNEGIE,7
CARNEGIE,7
CARNEGIE,7
CARNEGIE,7
CARNEGIE,2
ELI,7
ELI,7
ELI,9
CARNEGIE,4
CARNEGIE,8
CARNEGIE,6
CARNEGIE,7
CARNEGIE,6
ELI,4
ELI,1
ELI,1
ELI,1
ELI,1
ELI,1
ELI,1
ELI,1
ELI,1
ELI,1
CARNEGIE,2
CARNEGIE,7
CARNEGIE,7
CARNEGIE,7
CARNEGIE,5
CARNEGIE,7
CARNEGIE,6
CARNEGIE,2
ELI,7
ELI,7
ELI,8
ELI,7
CARNEGIE,3
ENGINEER,2
ELI,3
ENGINEER,6
ENGINEER,5
ELI,3
ENGINEER,5
ENGINEER,7
ENGINEER,7
ELI,6
ELI,8
ELI,4
ENGINEER,6
ENGINEER,6
CARNEGIE,4
ELI,5
CARNEGIE,7
CARNEGIE,6
CARNEGIE,7
CARNEGIE,7
CARNEGIE,6
CARNEGIE,7
CARNEGIE,4
CARNEGIE,6
CARNEGIE,8
CARNEGIE,8
CARNEGIE,5
ELI,6
ELI,5
CARNEGIE,6
CARNEGIE,5
CARNEGIE,5
CARNEGIE,7
CARNEGIE,4
CARNEGIE,6
REDRIDGE,5
REDRIDGE,5
REDRIDGE,5
ELI,1
CLAUDIA,7
CLAUDIA,4
CLAUDIA,7
ELI,3
CLAUDIA,3
CLAUDIA,4
CLAUDIA,6
ELI,3
CLAUDIA,5
ELI,3
CLAUDIA,4
ELI,5
ELI,7
ELI,6
CLAUDIA,8
CLAUDIA,5
CLAUDIA,6
CLAUDIA,5
ELI,4
CLAUDIA,8
CLAUDIA,2
ELI,3
CLAUDIA,9
CLAUDIA,6
CLAUDIA,7
CLAUDIA,7
CLAUDIA,9
CLAUDIA,8
CLAUDIA,8
CLAUDIA,7
CLAUDIA,7
CLAUDIA,8
CLAUDIA,8
CLAUDIA,1
ELI,5
ELI,8
ELI,6
CLAUDIA,8
CLAUDIA,4
ELI,1
CLAUDIA,8
CLAUDIA,6
CLAUDIA,7
CLAUDIA,8
CLAUDIA,7
CLAUDIA,8
CLAUDIA,6
CLAUDIA,8
CLAUDIA,6
CLAUDIA,7
CLAUDIA,1
CLAUDIA,6
CLAUDIA,3
CLAUDIA,5
CLAUDIA,1
CLAUDIA,3
CARNEGIE,7
CARNEGIE,7
CARNEGIE,6
CLAUDIA,4
CARNEGIE,3
CLAUDIA,7
CLAUDIA,5
CARNEGIE,6
CLAUDIA,8
CLAUDIA,3
CARNEGIE,4
CLAUDIA,7
CLAUDIA,7
CLAUDIA,4
CARNEGIE,5
CLAUDIA,8
CLAUDIA,7
CLAUDIA,7
CLAUDIA,4
CARNEGIE,6
CLAUDIA,7
CLAUDIA,7
CLAUDIA,7
CLAUDIA,5
CLAUDIA,5
CLAUDIA,3
CLAUDIA,3
CARNEGIE,6
CARNEGIE,6
CARNEGIE,5
CARNEGIE,6
CLAUDIA,7
CLAUDIA,6
CARNEGIE,6
CLAUDIA,5
CLAUDIA,3
CARNEGIE,6
CARNEGIE,6
CARNEGIE,7
CARNEGIE,7
CARNEGIE,4
CLAUDIA,7
CLAUDIA,5
CARNEGIE,7
CARNEGIE,8
CARNEGIE,6
CARNEGIE,6
CARNEGIE,1
CLAUDIA,7
CARNEGIE,8
CARNEGIE,7
CARNEGIE,6
CARNEGIE,8
CARNEGIE,6
CARNEGIE,6
CARNEGIE,7
CARNEGIE,5
CARNEGIE,6
CARNEGIE,5
CLAUDIA,6
CLAUDIA,6
CARNEGIE,4
CLAUDIA,8
CLAUDIA,6
CLAUDIA,7
CLAUDIA,8
CLAUDIA,7
CLAUDIA,6
CLAUDIA,6
